INSCRICAO,ENDEREÇO IMOVEL,CONTRIBUINTE,CLASSIFICACAO,BENEFICIO
331208-9,AV  BENJAMIM BRASIL 1137  Q00A MONDUBIM FORTALEZA - CE CEP:60711442,IGREJA DE CRISTO NA MARAPONGA,Imunidade,Templos Religiosos
79846-0,R COM LUIS RIBEIRO   SN-2 JACARECANGA FORTALEZA - CE CEP:60326330,IGREJA DE CRISTO NO CENTRO,Imunidade,Templos Religiosos
9298-3,R FRE MARCELINO 416  RODOLFO TEÓFILO FORTALEZA - CE CEP:60431004,IGREJA DE CRISTO NO PARQUE ARAXA,Imunidade,Templos Religiosos
545713-0,R COM LUIS RIBEIRO 239  JACARECANGA FORTALEZA - CE CEP:60326330,IGREJA DE CRISTO NO PARQUE ARAXA,Imunidade,Templos Religiosos
9296-7,R FRE MARCELINO 410  RODOLFO TEÓFILO FORTALEZA - CE CEP:60431004,IGREJA DE CRISTO NO PARQUE ARAXA,Imunidade,Templos Religiosos
9297-5,R FRE MARCELINO 410  RODOLFO TEÓFILO FORTALEZA - CE CEP:60431004,IGREJA DE CRISTO NO PARQUE ARAXA,Imunidade,Templos Religiosos
156983-0,AV  INDEPENDENCIA 2977  JARDIM IRACEMA FORTALEZA - CE CEP:60353165,IGREJA DE DEUS NO BRASIL,Imunidade,Templos Religiosos
146802-2,R  ROTARY 303  AMADEU FURTADO FORTALEZA - CE CEP:60455490,IGREJA DO EVANGELHO QUADRANGULAR,Imunidade,Templos Religiosos
234130-1,R  TERESINA 276  HENRIQUE JORGE FORTALEZA - CE CEP:60521094,IGREJA DO EVANGELHO QUADRANGULAR,Imunidade,Templos Religiosos
87015-3,R NSA DAS GRACAS 421  PIRAMBÚ FORTALEZA - CE CEP:60310770,IGREJA DO EVANGELHO QUADRANGULAR,Imunidade,Templos Religiosos
430609-0,R  CARIUS 669  VILA VELHA FORTALEZA - CE CEP:60347075,IGREJA DO EVANGELHO QUADRANGULAR,Imunidade,Templos Religiosos
38241-8,R  CRUZ ABREU 1009  SÃO JOÃO DO TAUAPE FORTALEZA - CE CEP:60130440,IGREJA DO EVANGELHO QUADRANGULAR,Imunidade,Templos Religiosos
677299-4,R  GIRASSOL 385  SERRINHA FORTALEZA - CE CEP:60743465,IGREJA DO EVANGELHO QUADRANGULAR,Imunidade,Templos Religiosos
83191-3,R  ALVARO DE ALENCAR 810  CARLITO PAMPLONA FORTALEZA - CE CEP:60311750,IGREJA DO EVANGELHO QUADRANGULAR,Imunidade,Templos Religiosos
701690-5,R  OSCAR LEITAO 530  PAUPINA FORTALEZA - CE CEP:60872685,IGREJA DO EVANGELHO QUADRANGULAR,Imunidade,Templos Religiosos
227613-5,R  EUSEBIO DE QUEIROS 1521  ITAOCA FORTALEZA - CE CEP:60410224,IGREJA DO EVANGELHO QUADRANGULAR,Imunidade,Templos Religiosos
287789-9,R  JOAQUIM FELICIO 947  MESSEJANA FORTALEZA - CE CEP:60840115,IGREJA DO EVANGELHO QUADRANGULAR,Imunidade,Templos Religiosos
198799-2,R  PARAIBA 895  DEMÓCRITO ROCHA FORTALEZA - CE CEP:60440130,IGREJA DO EVANGELHO QUADRANGULAR,Imunidade,Templos Religiosos
370755-5,R  DALVA DE OLIVEIRA 821  Q054L-20 JANGURUSSU FORTALEZA - CE CEP:60870220,IGREJA DO EVANGELHO QUADRANGULAR,Imunidade,Templos Religiosos
183196-8,R SAO LUIS DO CURU 234  VICENTE PINZON FORTALEZA - CE CEP:60175560,IGREJA DO EVANGELHO QUADRANGULAR,Imunidade,Templos Religiosos
195711-2,R  CARLOS CHAGAS 425  BONSUCESSO FORTALEZA - CE CEP:60541704,IGREJA DO EVANGELHO QUANDRANGULAR,Imunidade,Templos Religiosos
4600-0,PC CEL JOAO FONTES 366  MONTE CASTELO FORTALEZA - CE CEP:60326440,IGREJA DO EVANGELIO PLENO,Imunidade,Templos Religiosos
343529-6,R STO AMARO   Q014 L014 PICI FORTALEZA - CE CEP:60760665,IGREJA DO EVANGELIO PLENO,Imunidade,Templos Religiosos
47214-0,R  LAURO MAIA 1196  FÁTIMA FORTALEZA - CE CEP:60055295,IGREJA EM FORTALEZA,Imunidade,Templos Religiosos
47213-1,R  LAURO MAIA 1140  FÁTIMA FORTALEZA - CE CEP:60055295,IGREJA EM FORTALEZA,Imunidade,Templos Religiosos
133580-4,R  TAQUARI 2455  VAGO GRANJA PORTUGAL FORTALEZA - CE CEP:60541525,IGREJA EM FORTALEZA,Imunidade,Templos Religiosos
605703-9,R  6 (CONJ. ARVOREDO) 1652  IGREJA MONDUBIM FORTALEZA - CE CEP:60752360,"IGREJA EVANG.ASSEMB.DEUS,MISSAO MIN.EM FORT.EST.CEARA",Imunidade,Templos Religiosos
333991-2,R CEL ABELARDO RODRIGUES 54  VILA VELHA FORTALEZA - CE CEP:60347365,IGREJA EVANGELICA ADONAI,Imunidade,Templos Religiosos
201712-1,R STA CATARINA 206  PAN AMERICANO FORTALEZA - CE CEP:60440795,IGREJA EVANGELICA ASSEMB DE DEUS DE BELA VISTA,Imunidade,Templos Religiosos
92894-1,R  ALVARO DE ALENCAR 141  CARLITO PAMPLONA FORTALEZA - CE CEP:60311750,IGREJA EVANGELICA ASSEMB DE DEUS DE BELA VISTA,Imunidade,Templos Religiosos
45700-0,R GAL SAMPAIO 1572  CENTRO FORTALEZA - CE CEP:60020030,IGREJA EVANGELICA ASSEMB DE DEUS DE BELA VISTA,Imunidade,Templos Religiosos
192066-9,R  SILVA BAIMA 735  DOM LUSTOSA FORTALEZA - CE CEP:60526065,IGREJA EVANGELICA ASSEMB DE DEUS DE BELA VISTA,Imunidade,Templos Religiosos
45684-5,R  24 DE MAIO   VAGO CENTRO FORTALEZA - CE CEP:60020000,IGREJA EVANGELICA ASSEMB DE DEUS DE BELA VISTA,Imunidade,Templos Religiosos
527863-5,R  02 SANTANA I 380  MONDUBIM FORTALEZA - CE CEP:60767620,IGREJA EVANGELICA ASSEMB DE DEUS DE BELA VISTA,Imunidade,Templos Religiosos
267594-3,R  VICENTE NOBRE MACEDO 654  MESSEJANA FORTALEZA - CE CEP:60841110,IGREJA EVANGELICA ASSEMB DE DEUS DE BELA VISTA,Imunidade,Templos Religiosos
891012-0,R  BELGICA 893  MARAPONGA FORTALEZA - CE CEP:60710790,IGREJA EVANGELICA ASSEMB DE DEUS DE BELA VISTA,Imunidade,Templos Religiosos
652066-9,AV DES GONZAGA 74  CIDADE DOS FUNCIONÁRIOS FORTALEZA - CE CEP:60823012,IGREJA EVANGELICA ASSEMB DE DEUS DE BELA VISTA,Imunidade,Templos Religiosos
45701-9,R GAL SAMPAIO 1582  CENTRO FORTALEZA - CE CEP:60020030,IGREJA EVANGELICA ASSEMB DE DEUS DE BELA VISTA,Imunidade,Templos Religiosos
636500-0,R  VICENTE NOBRE MACEDO 654  A MESSEJANA FORTALEZA - CE CEP:60841110,IGREJA EVANGELICA ASSEMB DE DEUS DE BELA VISTA,Imunidade,Templos Religiosos
362882-5,R  JATI 554  Q00C MONDUBIM FORTALEZA - CE CEP:60347460,IGREJA EVANGELICA ASSEMB DE DEUS-MINIST INTERNACIONAL BETHEL,Imunidade,Templos Religiosos
66683-1,R  LIBERATO BARROSO 1001  204 CENTRO FORTALEZA - CE CEP:60030161,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
430660-0,R  1 DE JANEIRO 983  PARANGABA FORTALEZA - CE CEP:60710435,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
153538-2,R  TOMAS RODRIGUES 522  ANTÔNIO BEZERRA FORTALEZA - CE CEP:60361000,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
66710-2,R  LIBERATO BARROSO 1013  1013 CENTRO FORTALEZA - CE CEP:60030161,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
282544-9,R  TRAJANO DE MORAIS 575  PASSARÉ FORTALEZA - CE CEP:60861710,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
294052-3,R PDE RODOLFO 823  MANOEL SÁTIRO FORTALEZA - CE CEP:60764210,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
258719-0,R TEN BOTELHO 20  MONDUBIM FORTALEZA - CE CEP:60761530,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
66669-6,R  LIBERATO BARROSO 989  CENTRO FORTALEZA - CE CEP:60030161,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
66707-2,R  LIBERATO BARROSO 971  26 CENTRO FORTALEZA - CE CEP:60030161,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
454747-0,R  JOSE MARTINS 2180  GRANJA LISBOA FORTALEZA - CE CEP:60540545,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
66696-3,R  LIBERATO BARROSO 971  13 CENTRO FORTALEZA - CE CEP:60030161,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
682249-5,R  JOAO AREAS 900  MANOEL SÁTIRO FORTALEZA - CE CEP:60713410,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
423430-8,R  SAGRADA FAMILIA (AEROLANDIA) 62  AEROLÂNDIA FORTALEZA - CE CEP:60850260,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
55831-1,R FRE MANSUETO 1106  MEIRELES FORTALEZA - CE CEP:60175070,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
151074-6,R SAO PEDRO (DIAS MACEDO) 288  DIAS MACÊDO FORTALEZA - CE CEP:60860140,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
253475-4,R DR JUSTA ARAUJO 162  SERRINHA FORTALEZA - CE CEP:60741025,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
235142-0,R PRO VIRGILIO MORAIS 465  AUTRAN NUNES FORTALEZA - CE CEP:60526720,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
66674-2,R  LIBERATO BARROSO 1001  101 CENTRO FORTALEZA - CE CEP:60030161,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
66700-5,R  LIBERATO BARROSO 971  17 CENTRO FORTALEZA - CE CEP:60030161,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
217521-5,R  VINTE E TRES DE JUNHO 1887  GRANJA LISBOA FORTALEZA - CE CEP:60540515,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
193569-0,R  1 DE MAIO (BONSUCESSO) 641  BONSUCESSO FORTALEZA - CE CEP:60541658,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
297178-0,AV  BERNARDO MANUEL 13261  1 PREFEITO JOSÉ WALTER FORTALEZA - CE CEP:60760000,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
629614-9,R  MOGNO 267  L12Q11 CAJAZEIRAS FORTALEZA - CE CEP:60864505,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
66677-7,R  LIBERATO BARROSO 1001  104 CENTRO FORTALEZA - CE CEP:60030161,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
66678-5,R  LIBERATO BARROSO 1001  105 CENTRO FORTALEZA - CE CEP:60030161,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
66687-4,R  LIBERATO BARROSO 961  CENTRO FORTALEZA - CE CEP:60030161,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
66686-6,R  LIBERATO BARROSO 957  CENTRO FORTALEZA - CE CEP:60030161,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
108932-3,R  MANUEL MOURA 678  BARRA DO CEARÁ FORTALEZA - CE CEP:60330780,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
189285-1,R PRO MIRAMAR DA PONTE 872  HENRIQUE JORGE FORTALEZA - CE CEP:60521065,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
66699-8,R  LIBERATO BARROSO 971  16 CENTRO FORTALEZA - CE CEP:60030161,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
189284-3,R PRO MIRAMAR DA PONTE 872  2 HENRIQUE JORGE FORTALEZA - CE CEP:60521065,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
158456-1,R MAJ ADELINO 275  QUINTINO CUNHA FORTALEZA - CE CEP:60352520,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
178620-2,R CAP URUGUAI 629  ALTO DA BALANÇA FORTALEZA - CE CEP:60851100,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
151071-1,R  JOAO FONSECA 205  DIAS MACÊDO FORTALEZA - CE CEP:60860410,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
66701-3,R  LIBERATO BARROSO 971  18 CENTRO FORTALEZA - CE CEP:60030161,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
236203-1,R  ELESBAO VELOSO 183 PARTE IGREJA_EVANG¿¿LICA_ASS.DE_DEUS AUTRAN NUNES FORTALEZA - CE CEP:60526380,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
38728-2,R  CRUZ ABREU 204  SÃO JOÃO DO TAUAPE FORTALEZA - CE CEP:60130440,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
27071-7,R ALM RUFINO 625  A 1 VILA UNIÃO FORTALEZA - CE CEP:60420075,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
260261-0,AV  LEA POMPEU   SN-6 JARDIM DAS OLIVEIRAS FORTALEZA - CE CEP:60821490,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
527710-8,R  12 (LOT. PARQUE SANTANA) 166  MONDUBIM FORTALEZA - CE CEP:60767720,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
66676-9,R  LIBERATO BARROSO 1001  103 CENTRO FORTALEZA - CE CEP:60030161,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
90869-0,AV TEN LISBOA 2802  CARLITO PAMPLONA FORTALEZA - CE CEP:60310195,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
178621-0,R CAP URUGUAI 629  ALTO DA BALANÇA FORTALEZA - CE CEP:60851100,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
119048-2,AV  WASHINGTON LUIZ 627  VILA VELHA FORTALEZA - CE CEP:60347110,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
160632-8,R  VASCO DA GAMA 718  MONTESE FORTALEZA - CE CEP:60420440,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
66672-6,R  LIBERATO BARROSO 1005  CENTRO FORTALEZA - CE CEP:60030161,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
66688-2,R  LIBERATO BARROSO 965  CENTRO FORTALEZA - CE CEP:60030161,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
66705-6,R  LIBERATO BARROSO 971  24 CENTRO FORTALEZA - CE CEP:60030161,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
95252-4,R  MARCILIO DIAS 1020  PIRAMBÚ FORTALEZA - CE CEP:60310750,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
105410-4,R  FRANCISCO CALACA 313  CRISTO REDENTOR FORTALEZA - CE CEP:60337387,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
132931-6,R  1 DE MAIO (BONSUCESSO) 2612  GRANJA PORTUGAL FORTALEZA - CE CEP:60541312,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
66682-3,R  LIBERATO BARROSO 1001  203 CENTRO FORTALEZA - CE CEP:60030161,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
424335-8,R  DA CACHOEIRA 184  JARDIM DAS OLIVEIRAS FORTALEZA - CE CEP:60820080,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
55830-3,R FRE MANSUETO 1090  MEIRELES FORTALEZA - CE CEP:60175070,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
66679-3,R  LIBERATO BARROSO 1001  106 CENTRO FORTALEZA - CE CEP:60030161,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
66689-0,R  LIBERATO BARROSO 969  CENTRO FORTALEZA - CE CEP:60030161,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
66693-9,R  LIBERATO BARROSO 985  CENTRO FORTALEZA - CE CEP:60030161,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
354420-6,R  VIII (CIDADE OESTE) 1167  QUINTINO CUNHA FORTALEZA - CE CEP:60351780,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
66704-8,R  LIBERATO BARROSO 971  23 CENTRO FORTALEZA - CE CEP:60030161,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
66680-7,R  LIBERATO BARROSO 1001  201 CENTRO FORTALEZA - CE CEP:60030161,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
66698-0,R  LIBERATO BARROSO 971  15 CENTRO FORTALEZA - CE CEP:60030161,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
193568-2,R  1 DE MAIO (BONSUCESSO) 641  BONSUCESSO FORTALEZA - CE CEP:60541658,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
343870-8,AV GAL OSORIO DE PAIVA 5431  BOM JARDIM FORTALEZA - CE CEP:60731335,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
592999-7,R  FROTA PESSOA 3  ANTÔNIO BEZERRA FORTALEZA - CE CEP:60352260,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
8417-4,R MAJ WEYNE 1603  RODOLFO TEÓFILO FORTALEZA - CE CEP:60430450,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
66685-8,R  LIBERATO BARROSO 1001  206 CENTRO FORTALEZA - CE CEP:60030161,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
222853-0,R  OSCAR FRANCA 697  BOM JARDIM FORTALEZA - CE CEP:60543366,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
127012-5,R  MARIO CAMPOS 611  JARDIM GUANABARA FORTALEZA - CE CEP:60346215,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
66695-5,R  LIBERATO BARROSO 971  12 CENTRO FORTALEZA - CE CEP:60030161,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
85841-2,R DOM QUINTINO 161  JACARECANGA FORTALEZA - CE CEP:60310520,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
151073-8,R SAO PEDRO (DIAS MACEDO) 296  DIAS MACÊDO FORTALEZA - CE CEP:60860140,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
128697-8,R  CARLOS GONDIM 191  JARDIM GUANABARA FORTALEZA - CE CEP:60346452,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
66684-0,R  LIBERATO BARROSO 1001  205 CENTRO FORTALEZA - CE CEP:60030161,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
66670-0,R  LIBERATO BARROSO 993  CENTRO FORTALEZA - CE CEP:60030161,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
66673-4,R  LIBERATO BARROSO 1009  1009 CENTRO FORTALEZA - CE CEP:60030161,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
206014-0,R  MELO OLIVEIRA 764  JÓQUEI CLUBE FORTALEZA - CE CEP:60520315,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
382455-1,R  7 (CONJ. MIRASSOL)   L013 Q004 PARQUE DOIS IRMÃOS FORTALEZA - CE CEP:60743270,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
252329-9,R  ANTONIO TEIXEIRA LEITE (ITAPERI) 832  SERRINHA FORTALEZA - CE CEP:60742820,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
127825-8,R  RIO SOLIMOES 438  FLORESTA FORTALEZA - CE CEP:60340210,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
584164-0,R  ELISIARIO MENDES 50  Q-21 PARQUE IRACEMA FORTALEZA - CE CEP:60824180,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
260262-8,AV  LEA POMPEU   SN-6 JARDIM DAS OLIVEIRAS FORTALEZA - CE CEP:60821490,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
28328-2,AV  DOS EXPEDICIONARIOS 4703  PARREÃO FORTALEZA - CE CEP:60410305,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
66697-1,R  LIBERATO BARROSO 971  14 CENTRO FORTALEZA - CE CEP:60030161,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
80542-4,R NAT FEIJO 388  CARLITO PAMPLONA FORTALEZA - CE CEP:60326220,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
94482-3,R DOM QUINTINO 650  PIRAMBÚ FORTALEZA - CE CEP:60310520,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
132930-8,R  1 DE MAIO (BONSUCESSO) 2612  GRANJA PORTUGAL FORTALEZA - CE CEP:60541312,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
199162-0,R  PARANA 715  DEMÓCRITO ROCHA FORTALEZA - CE CEP:60440104,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
66690-4,R  LIBERATO BARROSO 973  CENTRO FORTALEZA - CE CEP:60030161,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
473776-8,R  ALBERTO FERREIRA 689  JARDIM IRACEMA FORTALEZA - CE CEP:60341140,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
242015-5,R COM GARCIA 730  A VILA PERY FORTALEZA - CE CEP:60730155,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
66675-0,R  LIBERATO BARROSO 1001  102 CENTRO FORTALEZA - CE CEP:60030161,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
252330-2,R  ANTONIO TEIXEIRA LEITE (ITAPERI) 832  SERRINHA FORTALEZA - CE CEP:60742820,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
66671-8,R  LIBERATO BARROSO 997  CENTRO FORTALEZA - CE CEP:60030161,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
116966-1,R  ROSINHA SAMPAIO 2183  VILA VELHA FORTALEZA - CE CEP:60345662,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
157992-4,R  CARLOS ARAUJO 230  QUINTINO CUNHA FORTALEZA - CE CEP:60351010,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
91703-6,R  COELHO DA FONSECA 467  ÁLVARO WEYNE FORTALEZA - CE CEP:60335050,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
119049-0,AV  WASHINGTON LUIZ 623  VILA VELHA FORTALEZA - CE CEP:60347110,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
66691-2,R  LIBERATO BARROSO 977  CENTRO FORTALEZA - CE CEP:60030161,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
107816-0,R  FRANCISCO CALACA 1523  ÁLVARO WEYNE FORTALEZA - CE CEP:60336045,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
191567-3,R  LUCIANO QUEIROS 141  HENRIQUE JORGE FORTALEZA - CE CEP:60510176,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
262385-4,R DR FRANCISCO GADELHA (SDO) 564  ENGENHEIRO LUCIANO CAVALCANTE FORTALEZA - CE CEP:60811120,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
66703-0,R  LIBERATO BARROSO 971  22 CENTRO FORTALEZA - CE CEP:60030161,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
116965-3,R  ROSINHA SAMPAIO 2193  VILA VELHA FORTALEZA - CE CEP:60345662,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
258718-1,R TEN BOTELHO 20  MONDUBIM FORTALEZA - CE CEP:60761530,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
257361-0,R  FRANCISCO GLICERIO 395  JARDIM CEARENSE FORTALEZA - CE CEP:60711055,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
278460-2,R  TIBURCIO PEREIRA 614  CAJAZEIRAS FORTALEZA - CE CEP:60864260,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
382456-0,R  7 (CONJ. MIRASSOL)   PARQUE DOIS IRMÃOS FORTALEZA - CE CEP:60743270,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
66681-5,R  LIBERATO BARROSO 1001  202 CENTRO FORTALEZA - CE CEP:60030161,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
66708-0,R  LIBERATO BARROSO 971  27 CENTRO FORTALEZA - CE CEP:60030161,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
199163-9,R  PARANA 715  DEMÓCRITO ROCHA FORTALEZA - CE CEP:60440104,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
230522-4,R BAR DE SOBRAL 609  MONTESE FORTALEZA - CE CEP:60420775,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,Imunidade,Templos Religiosos
